"國民所得統計常用資料(2008SNA)-季 依 期間, 指標 與 種類"

" ","期中人口(人)"," "," 平均匯率(元/美元)"," "," 經濟成長(%)"," "," 國內生產毛額GDP(名目值，百萬元)"," "," 國內生產毛額GDP(名目值，百萬美元)"," "," 平均每人GDP(名目值，元)"," "," 平均每人GDP(名目值，美元)"," "," 國民所得毛額GNI(名目值，百萬元)"," "," 國民所得毛額GNI(名目值，百萬美元)"," "," 平均每人GNI(名目值，元)"," "," 平均每人GNI(名目值，美元)"," "," 國民所得(名目值，百萬元)"," "," 國民所得(名目值，百萬美元)"," "," 平均每人所得(名目值，元)"," "," 平均每人所得(名目值，美元)"," "
" ","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)"
"1961Q1",10895610,-,40.00,--,-,--,17545,-,439,-,1610,-,40,-,17524,-,438,-,1609,-,40,-,-,-,-,-,-,-,-,-
"1961Q2",10985460,-,40.00,--,-,--,17270,-,432,-,1572,-,39,-,17249,-,431,-,1571,-,39,-,-,-,-,-,-,-,-,-
"1961Q3",11075310,-,40.00,--,-,--,16214,-,405,-,1464,-,37,-,16194,-,405,-,1463,-,37,-,-,-,-,-,-,-,-,-
"1961Q4",11165159,-,40.00,--,-,--,20099,-,502,-,1802,-,45,-,20078,-,502,-,1798,-,45,-,-,-,-,-,-,-,-,-
"1962Q1",11255692,3.30,40.00,--,8.87,--,18729,6.75,468,6.61,1665,3.42,42,5.00,18701,6.72,468,6.85,1662,3.29,42,5.00,-,-,-,-,-,-,-,-
"1962Q2",11346906,3.29,40.00,--,9.11,--,19149,10.88,479,10.88,1689,7.44,42,7.69,19122,10.86,478,10.90,1686,7.32,42,7.69,-,-,-,-,-,-,-,-
"1962Q3",11438121,3.28,40.00,--,12.39,--,18535,14.31,463,14.32,1621,10.72,41,10.81,18508,14.29,463,14.32,1619,10.66,40,8.11,-,-,-,-,-,-,-,-
"1962Q4",11529335,3.26,40.00,--,6.05,--,21999,9.45,550,9.56,1908,5.88,47,4.44,21971,9.43,549,9.36,1906,6.01,48,6.67,-,-,-,-,-,-,-,-
"1963Q1",11621732,3.25,40.00,--,14.39,--,21915,17.01,548,17.09,1887,13.33,47,11.90,21886,17.03,547,16.88,1883,13.30,47,11.90,-,-,-,-,-,-,-,-
"1963Q2",11715312,3.25,40.00,--,10.91,--,21580,12.70,540,12.73,1842,9.06,46,9.52,21551,12.70,539,12.76,1840,9.13,46,9.52,-,-,-,-,-,-,-,-
"1963Q3",11808891,3.24,40.00,--,7.35,--,20498,10.59,512,10.58,1736,7.09,43,4.88,20470,10.60,512,10.58,1733,7.04,43,7.50,-,-,-,-,-,-,-,-
"1963Q4",11902471,3.24,40.00,--,10.33,--,24747,12.49,619,12.55,2080,9.01,53,12.77,24720,12.51,618,12.57,2079,9.08,52,8.33,-,-,-,-,-,-,-,-
"1964Q1",11996231,3.22,40.00,--,12.94,--,26285,19.94,657,19.89,2191,16.11,55,17.02,26266,20.01,657,20.11,2190,16.30,55,17.02,-,-,-,-,-,-,-,-
"1964Q2",12090172,3.20,40.00,--,13.96,--,25539,18.35,638,18.15,2112,14.66,53,15.22,25536,18.49,638,18.37,2112,14.78,53,15.22,-,-,-,-,-,-,-,-
"1964Q3",12184114,3.18,40.00,--,13.40,--,23734,15.79,593,15.82,1948,12.21,49,13.95,23742,15.98,594,16.02,1949,12.46,49,13.95,-,-,-,-,-,-,-,-
"1964Q4",12278055,3.16,40.00,--,10.57,--,28115,13.61,704,13.73,2291,10.14,57,7.55,28145,13.86,703,13.75,2292,10.25,57,9.62,-,-,-,-,-,-,-,-
"1965Q1",12371735,3.13,40.00,--,10.32,--,28202,7.29,705,7.31,2280,4.06,57,3.64,28154,7.19,704,7.15,2276,3.93,57,3.64,-,-,-,-,-,-,-,-
"1965Q2",12465154,3.10,40.00,--,11.48,--,28599,11.98,715,12.07,2294,8.62,57,7.55,28550,11.80,714,11.91,2290,8.43,57,7.55,-,-,-,-,-,-,-,-
"1965Q3",12558572,3.07,40.00,--,12.91,--,26824,13.02,671,13.15,2136,9.65,53,8.16,26775,12.77,669,12.63,2132,9.39,53,8.16,-,-,-,-,-,-,-,-
"1965Q4",12651991,3.05,40.00,--,12.81,--,31146,10.78,778,10.51,2463,7.51,62,8.77,31098,10.49,777,10.53,2459,7.29,62,8.77,-,-,-,-,-,-,-,-
"1966Q1",12742563,3.00,40.00,--,6.62,--,30409,7.83,760,7.80,2387,4.69,60,5.26,30398,7.97,760,7.95,2387,4.88,60,5.26,28847,-,721,-,2265,-,57,-
"1966Q2",12830290,2.93,40.00,--,9.84,--,31381,9.73,785,9.79,2447,6.67,61,7.02,31364,9.86,784,9.80,2446,6.81,61,7.02,29714,-,743,-,2317,-,58,-
"1966Q3",12918016,2.86,40.00,--,13.30,--,30925,15.29,773,15.20,2395,12.13,60,13.21,30903,15.42,773,15.55,2393,12.24,60,13.21,29089,-,727,-,2253,-,56,-
"1966Q4",13005742,2.80,40.00,--,9.01,--,35567,14.19,889,14.27,2735,11.04,68,9.68,35520,14.22,888,14.29,2731,11.06,68,9.68,33632,-,841,-,2586,-,65,-
"1967Q1",13089790,2.72,40.00,--,12.30,--,35265,15.97,882,16.05,2695,12.90,67,11.67,35197,15.79,880,15.79,2690,12.69,67,11.67,33297,15.43,832,15.40,2545,12.36,64,12.28
"1967Q2",13170160,2.65,40.00,--,10.49,--,35665,13.65,892,13.63,2709,10.71,68,11.48,35582,13.45,890,13.52,2703,10.51,68,11.48,33552,12.92,839,12.92,2549,10.01,64,10.34
"1967Q3",13250529,2.57,40.00,--,8.95,--,36030,16.51,901,16.56,2720,13.57,68,13.33,35950,16.33,899,16.30,2714,13.41,68,13.33,33784,16.14,845,16.23,2551,13.23,64,14.29
"1967Q4",13330899,2.50,40.00,--,12.68,--,41400,16.40,1034,16.31,3107,13.60,78,14.71,41308,16.30,1032,16.22,3099,13.47,77,13.24,39047,16.10,976,16.05,2929,13.26,72,10.77
"1968Q1",13415447,2.49,40.00,--,8.44,--,39995,13.41,1000,13.38,2983,10.69,75,11.94,39910,13.39,998,13.41,2976,10.63,74,10.45,37582,12.87,940,12.98,2802,10.10,70,9.38
"1968Q2",13504174,2.54,40.00,--,9.02,--,41599,16.64,1040,16.59,3082,13.77,77,13.24,41539,16.74,1038,16.63,3077,13.84,77,13.24,39079,16.47,977,16.45,2895,13.57,72,12.50
"1968Q3",13592901,2.58,40.00,--,12.88,--,43049,19.48,1076,19.42,3169,16.51,79,16.18,42949,19.47,1074,19.47,3161,16.47,79,16.18,40271,19.20,1007,19.17,2964,16.19,74,15.63
"1968Q4",13681628,2.63,40.00,--,8.72,--,48383,16.87,1210,17.02,3537,13.84,88,12.82,48170,16.61,1204,16.67,3523,13.68,88,14.29,45371,16.20,1134,16.19,3318,13.28,83,15.28
"1969Q1",13811739,2.95,40.00,--,11.56,--,47921,19.82,1198,19.80,3472,16.39,87,16.00,47847,19.89,1196,19.84,3465,16.43,87,17.57,44910,19.50,1123,19.47,3253,16.10,81,15.71
"1969Q2",13983236,3.55,40.00,--,9.98,--,48737,17.16,1218,17.12,3487,13.14,87,12.99,48665,17.15,1217,17.24,3481,13.13,87,12.99,45563,16.59,1139,16.58,3259,12.57,81,12.50
"1969Q3",14154732,4.13,40.00,--,9.90,--,49360,14.66,1234,14.68,3489,10.10,87,10.13,49325,14.85,1233,14.80,3486,10.28,87,10.13,46062,14.38,1152,14.40,3255,9.82,81,9.46
"1969Q4",14326228,4.71,40.00,--,7.27,--,54689,13.03,1368,13.06,3818,7.94,96,9.09,54623,13.40,1366,13.46,3816,8.32,95,7.95,51185,12.81,1279,12.79,3576,7.78,91,9.64
"1970Q1",14456789,4.67,40.00,--,8.07,--,53504,11.65,1338,11.69,3701,6.60,93,6.90,53479,11.77,1337,11.79,3699,6.75,92,5.75,50103,11.56,1253,11.58,3466,6.55,87,7.41
"1970Q2",14539891,3.98,40.00,--,13.14,--,57206,17.38,1430,17.41,3934,12.82,98,12.64,57084,17.30,1427,17.26,3926,12.78,98,12.64,53497,17.41,1337,17.38,3679,12.89,92,13.58
"1970Q3",14615985,3.26,40.00,--,11.32,--,57392,16.27,1435,16.29,3927,12.55,98,12.64,57406,16.38,1435,16.38,3928,12.68,98,12.64,53606,16.38,1340,16.32,3668,12.69,92,13.58
"1970Q4",14704093,2.64,40.00,--,13.32,--,63325,15.79,1583,15.72,4308,12.83,108,12.50,63046,15.42,1576,15.37,4288,12.37,108,13.68,59013,15.29,1475,15.32,4014,12.25,100,9.89
"1971Q1",14795178,2.34,40.00,--,13.58,--,62998,17.74,1575,17.71,4258,15.05,106,13.98,63017,17.84,1575,17.80,4260,15.17,106,15.22,58933,17.62,1473,17.56,3984,14.95,100,14.94
"1971Q2",14874437,2.30,40.00,--,16.26,--,67093,17.28,1677,17.27,4512,14.69,113,15.31,66951,17.29,1674,17.31,4502,14.67,113,15.31,62688,17.18,1567,17.20,4215,14.57,105,14.13
"1971Q3",14947675,2.27,40.00,--,14.54,--,66623,16.08,1666,16.10,4457,13.50,111,13.27,66565,15.95,1664,15.96,4454,13.39,111,13.27,62052,15.76,1551,15.75,4152,13.20,104,13.04
"1971Q4",15028940,2.21,40.00,--,9.76,--,72400,14.33,1810,14.34,4818,11.84,121,12.04,72459,14.93,1812,14.97,4821,12.43,121,12.04,67541,14.45,1689,14.51,4494,11.96,112,12.00
"1972Q1",15109925,2.13,40.00,--,14.41,--,75626,20.05,1891,20.06,5004,17.52,125,17.92,75366,19.60,1884,19.62,4987,17.07,125,17.92,70188,19.10,1755,19.14,4644,16.57,116,16.00
"1972Q2",15177272,2.04,40.00,--,14.02,--,80497,19.98,2012,19.98,5303,17.53,133,17.70,80563,20.33,2014,20.31,5307,17.88,133,17.70,75153,19.88,1879,19.91,4951,17.46,124,18.10
"1972Q3",15243614,1.98,40.00,--,12.29,--,80079,20.20,2002,20.17,5252,17.84,131,18.02,79958,20.12,1999,20.13,5244,17.74,131,18.02,74159,19.51,1854,19.54,4864,17.15,122,17.31
"1972Q4",15323024,1.96,40.00,--,14.73,--,86334,19.25,2158,19.23,5632,16.89,141,16.53,86717,19.68,2168,19.65,5657,17.34,141,16.53,80447,19.11,2011,19.06,5248,16.78,131,16.96
"1973Q1",15398584,1.91,39.00,--,14.36,--,92374,22.15,2367,25.17,6001,19.92,154,23.20,92409,22.61,2367,25.64,6003,20.37,154,23.20,85654,22.04,2194,25.01,5564,19.81,143,23.28
"1973Q2",15466929,1.91,38.00,--,10.46,--,98004,21.75,2577,28.08,6338,19.52,167,25.56,97984,21.62,2577,27.95,6337,19.41,167,25.56,90552,20.49,2381,26.72,5857,18.30,154,24.19
"1973Q3",15537283,1.93,38.00,--,14.93,--,105494,31.74,2773,38.51,6793,29.34,179,36.64,105138,31.49,2764,38.27,6769,29.08,178,35.88,96495,30.12,2537,36.84,6213,27.73,163,33.61
"1973Q4",15608643,1.86,38.00,--,11.80,--,122623,42.03,3224,49.40,7859,39.54,206,46.10,122848,41.67,3230,48.99,7874,39.19,206,46.10,113139,40.64,2975,47.94,7251,38.17,191,45.80
"1974Q1",15676296,1.80,38.00,--,7.01,--,138058,49.46,3633,53.49,8805,46.73,232,50.65,138229,49.58,3638,53.70,8816,46.86,232,50.65,125926,47.02,3314,51.05,8031,44.34,211,47.55
"1974Q2",15744624,1.80,38.00,--,3.47,--,142849,45.76,3759,45.87,9071,43.12,239,43.11,142329,45.26,3746,45.36,9038,42.62,238,42.51,129535,43.05,3409,43.18,8225,40.43,217,40.91
"1974Q3",15812952,1.77,38.00,--,0.11,--,137738,30.56,3625,30.72,8708,28.19,229,27.93,137527,30.81,3619,30.93,8695,28.45,229,28.65,124349,28.87,3272,28.97,7862,26.54,207,26.99
"1974Q4",15889319,1.80,38.00,--,0.36,--,141484,15.38,3723,15.48,8901,13.26,234,13.59,141867,15.48,3733,15.57,8925,13.35,235,14.08,128548,13.62,3383,13.71,8088,11.54,213,11.52
"1975Q1",15967632,1.86,38.00,--,-2.81,--,139697,1.19,3676,1.18,8749,-0.64,230,-0.86,139315,0.79,3666,0.77,8725,-1.03,230,-0.86,124593,-1.06,3279,-1.06,7803,-2.84,205,-2.84
"1975Q2",16036952,1.86,38.00,--,4.50,--,147769,3.44,3889,3.46,9214,1.58,242,1.26,147027,3.30,3869,3.28,9168,1.44,241,1.26,132374,2.19,3484,2.20,8254,0.35,217,0.00
"1975Q3",16101248,1.82,38.00,--,10.67,--,151956,10.32,3999,10.32,9438,8.38,248,8.30,150615,9.52,3964,9.53,9354,7.58,246,7.42,135333,8.83,3561,8.83,8405,6.91,221,6.76
"1975Q4",16180614,1.83,38.00,--,12.34,--,162405,14.79,4274,14.80,10037,12.76,265,13.25,161526,13.86,4251,13.88,9983,11.85,263,11.91,146109,13.66,3845,13.66,9031,11.66,238,11.74
"1976Q1",16256774,1.81,38.00,--,15.96,--,168312,20.48,4429,20.48,10342,18.21,272,18.26,167297,20.09,4403,20.10,10281,17.83,271,17.83,150517,20.81,3961,20.80,9250,18.54,243,18.54
"1976Q2",16328089,1.82,38.00,--,14.29,--,177474,20.10,4670,20.08,10858,17.84,286,18.18,175780,19.56,4626,19.57,10754,17.30,283,17.43,158535,19.76,4172,19.75,9699,17.51,255,17.51
"1976Q3",16414471,1.95,38.00,--,12.83,--,181952,19.74,4788,19.73,11074,17.33,292,17.74,180921,20.12,4761,20.11,11011,17.71,290,17.89,162603,20.15,4279,20.16,9896,17.74,260,17.65
"1976Q4",16521945,2.11,38.00,--,14.21,--,193845,19.36,5102,19.37,11721,16.78,308,16.23,192569,19.22,5067,19.20,11643,16.63,306,16.35,173693,18.88,4571,18.88,10502,16.29,277,16.39
"1977Q1",16615413,2.21,38.00,--,11.98,--,194267,15.42,5112,15.42,11694,13.07,308,13.24,193971,15.94,5105,15.94,11675,13.56,307,13.28,173715,15.41,4571,15.40,10456,13.04,275,13.17
"1977Q2",16688719,2.21,38.00,--,13.97,--,209546,18.07,5514,18.07,12558,15.66,330,15.38,207510,18.05,5461,18.05,12435,15.63,327,15.55,187154,18.05,4925,18.05,11215,15.63,295,15.69
"1977Q3",16765038,2.14,38.00,--,9.19,--,211207,16.08,5558,16.08,12600,13.78,332,13.70,210454,16.32,5538,16.32,12554,14.01,330,13.79,189332,16.44,4982,16.43,11294,14.13,297,14.23
"1977Q4",16844369,1.95,38.00,--,10.64,--,230637,18.98,6070,18.97,13693,16.82,360,16.88,228598,18.71,6015,18.71,13574,16.59,358,16.99,206894,19.11,5446,19.14,12286,16.99,324,16.97
"1978Q1",16916769,1.81,38.00,--,12.90,--,228875,17.81,6008,17.53,13524,15.65,355,15.26,229274,18.20,6019,17.90,13548,16.04,356,15.96,206893,19.10,5431,18.81,12225,16.92,321,16.73
"1978Q2",16985043,1.78,38.00,--,12.35,--,248057,18.38,6511,18.08,14599,16.25,383,16.06,246093,18.59,6459,18.28,14483,16.47,380,16.21,223260,19.29,5860,18.98,13140,17.16,345,16.95
"1978Q3",17063356,1.78,36.12,--,17.26,--,258919,22.59,7150,28.64,15168,20.38,419,26.20,259783,23.44,7174,29.54,15219,21.23,421,27.58,235426,24.35,6501,30.49,13792,22.12,381,28.28
"1978Q4",17156731,1.85,35.68,--,11.92,--,275650,19.52,7706,26.95,16061,17.29,449,24.72,274020,19.87,7660,27.35,15966,17.62,446,24.58,248199,19.96,6938,27.40,14461,17.70,404,24.69
"1979Q1",17238277,1.90,35.94,--,10.73,--,279629,22.18,7783,29.54,16213,19.88,451,27.04,280347,22.28,7803,29.64,16255,19.98,453,27.25,252549,22.07,7030,29.44,14642,19.77,408,27.10
"1979Q2",17311551,1.92,36.01,--,9.93,--,300293,21.06,8342,28.12,17337,18.75,482,25.85,301037,22.33,8363,29.48,17380,20.00,483,27.11,271804,21.74,7551,28.86,15693,19.43,436,26.38
"1979Q3",17393858,1.94,36.06,--,7.64,--,311605,20.35,8644,20.90,17906,18.05,497,18.62,311801,20.02,8650,20.57,17917,17.73,497,18.05,280476,19.14,7781,19.69,16117,16.86,447,17.32
"1979Q4",17492224,1.96,36.03,--,7.30,--,328069,19.02,9109,18.21,18746,16.72,520,15.81,326811,19.27,9073,18.45,18673,16.95,518,16.14,293945,18.43,8160,17.61,16795,16.14,466,15.35
"1980Q1",17578091,1.97,36.04,--,7.91,--,349969,25.15,9710,24.76,19901,22.75,552,22.39,351990,25.56,9767,25.17,20015,23.13,556,22.74,315513,24.93,8755,24.54,17941,22.53,498,22.06
"1980Q2",17648339,1.95,36.04,--,8.39,--,373902,24.51,10374,24.36,21177,22.15,588,21.99,371406,23.38,10305,23.22,21036,21.04,584,20.91,333232,22.60,9246,22.45,18874,20.27,524,20.18
"1980Q3",17724609,1.90,35.96,--,7.84,--,383668,23.13,10668,23.42,21637,20.84,602,21.13,385762,23.72,10727,24.01,21755,21.42,605,21.73,345401,23.15,9604,23.43,19479,20.86,542,21.25
"1980Q4",17817939,1.86,35.96,--,8.01,--,415086,26.52,11543,26.72,23287,24.22,647,24.42,411361,25.87,11438,26.07,23077,23.58,641,23.75,369175,25.59,10265,25.80,20710,23.31,575,23.39
"1981Q1",17901555,1.84,35.95,--,7.15,--,422959,20.86,11770,21.22,23619,18.68,657,19.02,421682,19.80,11734,20.14,23548,17.65,655,17.81,377503,19.65,10506,20.00,21081,17.50,587,17.87
"1981Q2",17975802,1.86,36.36,--,7.14,--,451532,20.76,12423,19.75,25111,18.58,691,17.52,448807,20.84,12348,19.83,24959,18.65,687,17.64,401110,20.37,11037,19.37,22307,18.19,614,17.18
"1981Q3",18058075,1.88,37.06,--,8.37,--,459833,19.85,12413,16.36,25456,17.65,687,14.12,458140,18.76,12367,15.29,25362,16.58,685,13.22,412139,19.32,11126,15.85,22816,17.13,616,13.65
"1981Q4",18149379,1.86,37.80,--,5.84,--,470719,13.40,12457,7.92,25927,11.34,686,6.03,466761,13.47,12352,7.99,25709,11.41,680,6.08,422325,14.40,11177,8.88,23262,12.32,615,6.96
"1982Q1",18227453,1.82,37.91,--,4.58,--,461896,9.21,12186,3.53,25323,7.21,668,1.67,463881,10.01,12238,4.30,25432,8.00,671,2.44,412661,9.31,10888,3.64,22625,7.32,597,1.70
"1982Q2",18294665,1.77,38.78,--,5.13,--,488317,8.15,12594,1.38,26673,6.22,688,-0.43,484976,8.06,12508,1.30,26490,6.13,684,-0.44,433795,8.15,11190,1.39,23696,6.23,611,-0.49
"1982Q3",18371909,1.74,39.65,--,4.70,--,489592,6.47,12350,-0.51,26630,4.61,672,-2.18,491134,7.20,12389,0.18,26714,5.33,674,-1.61,444009,7.73,11202,0.68,24151,5.85,610,-0.97
"1982Q4",18466206,1.75,40.15,--,4.77,--,498589,5.92,12420,-0.30,26981,4.07,672,-2.04,497721,6.63,12398,0.37,26933,4.76,670,-1.47,451450,6.90,11247,0.63,24430,5.02,608,-1.14
"1983Q1",18547823,1.76,39.97,--,4.29,--,495528,7.28,12404,1.79,26716,5.50,668,0.00,501323,8.07,12549,2.54,27029,6.28,676,0.75,447716,8.49,11207,2.93,24138,6.69,604,1.17
"1983Q2",18614026,1.75,40.03,--,8.41,--,548306,12.28,13705,8.82,29457,10.44,737,7.12,543403,12.05,13582,8.59,29193,10.20,729,6.58,484368,11.66,12106,8.19,26022,9.82,650,6.38
"1983Q3",18683238,1.69,40.12,--,11.30,--,554907,13.34,13839,12.06,29701,11.53,741,10.27,558179,13.65,13920,12.36,29876,11.84,745,10.53,500111,12.64,12472,11.34,26768,10.84,668,9.51
"1983Q4",18754456,1.56,40.19,--,11.79,--,571264,14.58,14221,14.50,30461,12.90,758,12.80,570356,14.59,14199,14.53,30411,12.91,758,13.13,514139,13.89,12800,13.81,27415,12.22,683,12.34
"1984Q1",18816526,1.45,40.15,--,11.88,--,562284,13.47,14000,12.87,29858,11.76,743,11.23,570970,13.89,14216,13.28,30320,12.18,755,11.69,514624,14.94,12813,14.33,27329,13.22,680,12.58
"1984Q2",18872694,1.39,39.77,--,11.66,--,619869,13.05,15581,13.69,32819,11.41,825,11.94,620554,14.20,15598,14.84,32855,12.54,826,13.31,555259,14.64,13957,15.29,29398,12.97,739,13.69
"1984Q3",18939896,1.37,39.21,--,9.71,--,620261,11.78,15814,14.27,32723,10.17,834,12.55,632351,13.29,16121,15.81,33361,11.66,850,14.09,572975,14.57,14607,17.12,30228,12.93,771,15.42
"1984Q4",19023146,1.43,39.36,--,7.31,--,616470,7.91,15657,10.10,32381,6.30,823,8.58,624984,9.58,15874,11.80,32829,7.95,834,10.03,563445,9.59,14310,11.80,29596,7.96,752,10.10
"1985Q1",19095232,1.48,39.30,--,5.68,--,598491,6.44,15229,8.78,31327,4.92,797,7.27,614377,7.60,15633,9.97,32158,6.06,819,8.48,558260,8.48,14205,10.86,29221,6.92,744,9.41
"1985Q2",19145377,1.44,39.82,--,4.24,--,641680,3.52,16116,3.43,33500,2.08,841,1.94,647713,4.38,16267,4.29,33814,2.92,849,2.78,574331,3.43,14423,3.34,29983,1.99,753,1.89
"1985Q3",19203545,1.39,40.31,--,3.62,--,639119,3.04,15855,0.26,33265,1.66,825,-1.08,654199,3.46,16230,0.68,34050,2.07,844,-0.71,593584,3.60,14726,0.81,30894,2.20,766,-0.65
