"外匯匯率-美元兌新台幣遠期匯率-月 依 期間, 期限, 匯率 與 種類",,,,,,,,,,,,,,,,,,,,,,,,
http://statdb.dgbas.gov.tw/pxweb/dialog/..%5CDialog%5Cvarval.asp?ma=FM3202A1M&ti=%A5~%B6%D7%B2%CE%ADp-%A7Y%B4%C1%B6%D7%B2v-%A4%EB&path=../PXfile/FinancialStatistics/&lang=9&strList=L,,,,,,,,,,,,,,,,,,,,,,,,
 , 10天, , , , 30天, , , , 60天, , , , 90天, , , , 120天, , , , 180天, , , 
 , 買入匯率, , 賣出匯率, , 買入匯率, , 賣出匯率, , 買入匯率, , 賣出匯率, , 買入匯率, , 賣出匯率, , 買入匯率, , 賣出匯率, , 買入匯率, , 賣出匯率, 
 , 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%)
1997M01,27.4,0,27.515,0.16,27.4,0.04,27.515,0.27,27.395,0.09,27.505,0.42,27.39,0.15,27.505,0.53,27.39,0.22,27.505,0.67,27.39,0.29,27.505,0.82
1997M02,27.455,-0.09,27.615,-0.16,27.455,-0.05,27.615,-0.05,27.455,-0.02,27.625,0.02,27.475,-0.05,27.63,0.04,27.475,0.02,27.635,0.24,27.475,0.09,27.64,0.36
1997M03,27.512,-1.13,27.607,-1.11,27.515,-1.13,27.62,-1.05,27.525,-1.11,27.63,-1.07,27.53,-1.09,27.645,-1.09,27.535,-1.07,27.65,-1.05,27.545,-1.07,27.68,-1.08
1997M04,27.624,-1.82,27.716,-1.79,27.632,-1.83,27.728,-1.78,27.64,-1.81,27.75,-1.8,27.645,-1.79,27.76,-1.8,27.65,-1.77,27.77,-1.78,27.67,-1.77,27.79,-1.78
1997M05,27.812,-0.72,27.905,-0.65,27.805,-0.7,27.906,-0.63,27.795,-0.63,27.906,-0.61,27.795,-0.61,27.906,-0.54,27.79,-0.56,27.906,-0.49,27.78,-0.47,27.906,-0.42
1997M06,27.783,-1.18,27.885,-1.21,27.81,-1.32,27.935,-1.4,27.81,-1.33,27.95,-1.45,27.81,-1.37,27.95,-1.43,27.815,-1.33,27.955,-1.43,27.815,-1.31,27.955,-1.4
1997M07,28.578,-3.82,28.677,-3.83,28.595,-3.92,28.71,-3.95,28.63,-4.09,28.75,-4.12,28.67,-4.29,28.795,-4.29,28.69,-4.36,28.84,-4.42,28.73,-4.49,28.9,-4.64
1997M08,28.623,-4.2,28.73,-4.23,28.67,-4.36,28.79,-4.4,28.7,-4.49,28.85,-4.61,28.75,-4.66,28.91,-4.81,28.8,-4.83,28.96,-4.97,28.85,-4.99,29.07,-5.26
1997M09,28.556,-3.91,28.673,-3.97,28.586,-4.01,28.716,-4.09,28.631,-4.19,28.771,-4.28,28.681,-4.36,28.821,-4.44,28.701,-4.43,28.881,-4.64,28.791,-4.73,28.991,-4.94
1997M10,30.81,-10.73,31.117,-11.31,30.83,-10.78,31.15,-11.37,30.88,-10.96,31.23,-11.61,30.95,-11.16,31.32,-11.86,31,-11.31,31.43,-12.17,31.12,-11.65,31.55,-12.44
1997M11,31.97,-14.19,32.19,-14.46,32.01,-14.32,32.25,-14.62,32.08,-14.53,32.33,-14.85,32.2,-14.81,32.51,-15.27,32.24,-14.93,32.56,-15.4,32.36,-15.25,32.65,-15.64
1997M12,32.46,-15.49,32.703,-15.79,32.48,-15.58,32.73,-15.87,32.55,-15.76,32.89,-16.28,32.6,-15.89,32.94,-16.39,32.65,-16.02,33,-16.55,32.75,-16.27,33.14,-16.88
1998M01,33.823,-18.99,34.08,-19.26,33.87,-19.1,34.16,-19.45,33.94,-19.28,34.24,-19.67,34,-19.44,34.34,-19.9,34.05,-19.56,34.39,-20.02,34.2,-19.91,34.59,-20.48
1998M02,31.792,-13.64,32.037,-13.8,31.815,-13.7,32.07,-13.89,31.85,-13.8,32.13,-14.02,31.89,-13.84,32.2,-14.19,31.94,-13.98,32.26,-14.34,32.03,-14.22,32.37,-14.61
1998M03,32.69,-15.84,32.937,-16.18,32.71,-15.88,32.97,-16.23,32.75,-15.95,33.03,-16.35,32.77,-15.99,33.07,-16.4,32.8,-16.05,33.12,-16.52,32.88,-16.23,33.22,-16.68
1998M04,32.889,-16.01,33.053,-16.15,32.907,-16.03,33.08,-16.18,32.94,-16.09,33.125,-16.23,32.97,-16.15,33.17,-16.31,32.99,-16.19,33.21,-16.38,33.06,-16.3,33.28,-16.5
1998M05,33.9,-17.96,34.03,-18,33.93,-18.05,34.06,-18.07,33.97,-18.18,34.1,-18.16,34,-18.25,34.15,-18.28,34.03,-18.34,34.19,-18.38,34.1,-18.53,34.28,-18.59
1998M06,34.34,-19.09,34.46,-19.08,34.36,-19.06,34.5,-19.03,34.4,-19.16,34.55,-19.1,34.43,-19.23,34.59,-19.2,34.48,-19.33,34.64,-19.3,34.56,-19.52,34.73,-19.51
1998M07,34.32,-16.73,34.43,-16.71,34.347,-16.75,34.458,-16.68,34.387,-16.74,34.499,-16.66,34.407,-16.67,34.539,-16.63,34.443,-16.7,34.585,-16.61,34.517,-16.77,34.679,-16.66
1998M08,34.798,-17.75,34.914,-17.71,34.82,-17.66,34.934,-17.59,34.852,-17.65,34.964,-17.49,34.877,-17.57,35.006,-17.41,34.908,-17.5,35.052,-17.38,34.972,-17.51,35.146,-17.29
1998M09,34.367,-16.91,34.481,-16.84,34.389,-16.87,34.506,-16.78,34.422,-16.82,34.543,-16.71,34.452,-16.75,34.585,-16.67,34.485,-16.77,34.629,-16.6,34.552,-16.67,34.718,-16.5
1998M10,32.337,-4.72,32.458,-4.13,32.355,-4.71,32.467,-4.06,32.36,-4.57,32.48,-3.85,32.368,-4.38,32.495,-3.62,32.37,-4.23,32.523,-3.36,32.385,-3.91,32.58,-3.16
1998M11,32.376,-1.25,32.498,-0.95,32.37,-1.11,32.498,-0.76,32.36,-0.87,32.498,-0.52,32.365,-0.51,32.518,-0.02,32.37,-0.4,32.528,0.1,32.38,-0.06,32.548,0.31
