"來臺旅客人數按居住地分-月 依 期間, 居住地別 與 種類"

" "," 合計"," "," 亞洲"," "," 亞洲-香港、澳門"," "," 亞洲-中國大陸"," "," 亞洲-日本"," "," 美洲"," "," 歐洲"," "," 大洋洲"," "," 非洲"," "," 未列明"," "
" "," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"
"1981M01",122717,2.80,100685,-0.64,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M02",110381,-2.43,92668,-3.91,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M03",123247,2.44,100180,1.52,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M04",118966,4.55,92730,2.05,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M05",115844,4.80,89194,1.12,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M06",115778,8.80,91832,7.23,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M07",105157,-0.75,83361,-0.80,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M08",125309,10.45,102486,9.49,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M09",108001,5.86,85642,3.20,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M10",139974,-3.67,106829,-6.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M11",118659,-8.74,92821,-10.58,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M12",105432,-6.63,84862,-7.35,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M01",121786,-0.76,103926,3.22,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M02",119310,8.09,102176,10.26,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M03",119039,-3.41,98414,-1.76,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M04",121047,1.75,97522,5.17,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M05",106709,-7.89,83959,-5.87,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M06",108002,-6.72,87461,-4.76,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M07",117143,11.40,92550,11.02,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M08",118075,-5.77,97739,-4.63,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M09",106810,-1.10,87606,2.29,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M10",131983,-5.71,100393,-6.02,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M11",133784,12.75,108506,16.90,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M12",115490,9.54,96414,13.61,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1983M01",112212,-7.86,92106,-11.37,...,...,...,...,57517,...,12002,...,4701,...,1662,...,1285,...,456,...
"1983M02",128667,7.84,111699,9.32,...,...,...,...,59420,...,10201,...,4010,...,872,...,691,...,1194,...
"1983M03",131615,10.56,109774,11.54,...,...,...,...,63856,...,12530,...,6035,...,1505,...,1315,...,456,...
"1983M04",123500,2.03,98754,1.26,...,...,...,...,44541,...,14102,...,6221,...,1855,...,2151,...,417,...
"1983M05",111780,4.75,86653,3.21,...,...,...,...,42630,...,15589,...,5598,...,1827,...,1664,...,449,...
"1983M06",112435,4.10,89679,2.54,...,...,...,...,44611,...,15055,...,4511,...,1610,...,1177,...,403,...
"1983M07",112020,-4.37,87729,-5.21,...,...,...,...,40829,...,16200,...,4561,...,1422,...,1507,...,601,...
"1983M08",124060,5.07,101879,4.24,...,...,...,...,51665,...,13842,...,5045,...,1466,...,1256,...,572,...
"1983M09",109390,2.42,86987,-0.71,...,...,...,...,43286,...,13581,...,4973,...,1639,...,1767,...,443,...
"1983M10",135335,2.54,99727,-0.66,...,...,...,...,43139,...,22703,...,7922,...,2217,...,1930,...,836,...
"1983M11",137642,2.88,108655,0.14,...,...,...,...,60508,...,17181,...,8064,...,1936,...,1488,...,318,...
"1983M12",118748,2.82,96709,0.31,...,...,...,...,46572,...,13736,...,4168,...,1566,...,2057,...,512,...
"1984M01",120080,7.01,96123,4.36,...,...,...,...,61631,7.15,15147,26.20,4721,0.43,1821,9.57,1309,1.87,959,110.31
"1984M02",133994,4.14,114044,2.10,...,...,...,...,64093,7.86,12012,17.75,5029,25.41,1258,44.27,977,41.39,674,-43.55
"1984M03",132152,0.41,107187,-2.36,...,...,...,...,66862,4.71,14805,18.16,6426,6.48,1697,12.76,1411,7.30,626,37.28
"1984M04",136006,10.13,107592,8.95,...,...,...,...,50096,12.47,16613,17.81,6898,10.88,1904,2.64,2140,-0.51,859,106.00
"1984M05",123029,10.06,95054,9.69,...,...,...,...,49578,16.30,17048,9.36,6191,10.59,2302,26.00,1559,-6.31,875,94.88
"1984M06",121551,8.11,96270,7.35,...,...,...,...,49914,11.89,17020,13.05,4692,4.01,1711,6.27,1133,-3.74,725,79.90
"1984M07",115729,3.31,89129,1.60,...,...,...,...,41124,0.72,17274,6.63,5146,12.83,1470,3.38,1769,17.39,941,56.57
"1984M08",121568,-2.01,97686,-4.12,...,...,...,...,49590,-4.02,15120,9.23,5206,3.19,1514,3.27,1241,-1.19,801,40.03
"1984M09",113838,4.07,88999,2.31,...,...,...,...,43874,1.36,15021,10.60,5493,10.46,1687,2.93,1496,-15.34,1142,157.79
"1984M10",139422,3.02,101057,1.33,...,...,...,...,45212,4.81,24405,7.50,9057,14.33,2085,-5.95,1958,1.45,860,2.87
"1984M11",138935,0.94,109872,1.12,...,...,...,...,65969,9.03,17924,4.32,7721,-4.25,1622,-16.22,1020,-31.45,776,144.03
"1984M12",119834,0.91,95423,-1.33,...,...,...,...,48801,4.79,16105,17.25,4390,5.33,1447,-7.60,1438,-30.09,1031,101.37
"1985M01",120686,0.50,97065,0.98,...,...,...,...,63707,3.37,14758,-2.57,5176,9.64,1848,1.48,1097,-16.20,742,-22.63
"1985M02",123879,-7.55,105057,-7.88,...,...,...,...,58348,-8.96,11842,-1.42,4132,-17.84,1158,-7.95,702,-28.15,988,46.59
"1985M03",136257,3.11,108913,1.61,...,...,...,...,69986,4.67,16594,12.08,6952,8.19,1863,9.78,1022,-27.57,913,45.85
"1985M04",128310,-5.66,99823,-7.22,...,...,...,...,46211,-7.76,17125,3.08,6929,0.45,2057,8.04,1327,-37.99,1049,22.12
"1985M05",114977,-6.54,86424,-9.08,...,...,...,...,48412,-2.35,19060,11.80,5737,-7.33,1874,-18.59,1126,-27.77,756,-13.60
"1985M06",116694,-4.00,89472,-7.06,...,...,...,...,45428,-8.99,18537,8.91,5267,12.25,1674,-2.16,958,-15.45,786,8.41
"1985M07",111702,-3.48,83553,-6.26,...,...,...,...,40188,-2.28,19571,13.30,5017,-2.51,1526,3.81,1055,-40.36,980,4.14
"1985M08",119138,-2.00,95695,-2.04,...,...,...,...,49444,-0.29,15142,0.15,4904,-5.80,1366,-9.78,1080,-12.97,951,18.73
"1985M09",106422,-6.51,82940,-6.81,...,...,...,...,44886,2.31,14590,-2.87,5312,-3.30,1639,-2.85,1066,-28.74,875,-23.38
"1985M10",130840,-6.16,91815,-9.15,...,...,...,...,42322,-6.39,25347,3.86,9344,3.17,2025,-2.88,1471,-24.87,838,-2.56
"1985M11",124972,-10.05,96693,-11.99,...,...,...,...,59899,-9.20,17752,-0.96,7508,-2.76,1516,-6.54,821,-19.51,682,-12.11
"1985M12",117782,-1.71,93227,-2.30,...,...,...,...,51142,4.80,16590,3.01,4411,0.48,1687,16.59,1054,-26.70,813,-21.14
"1986M01",119188,-1.24,92855,-4.34,...,...,...,...,62649,-1.66,17063,15.62,5587,7.94,1842,-0.32,988,-9.94,853,14.96
"1986M02",123185,-0.56,102777,-2.17,...,...,...,...,59147,1.37,12470,5.30,4646,12.44,1240,7.08,867,23.50,1185,19.94
"1986M03",142043,4.25,113008,3.76,...,...,...,...,71728,2.49,17418,4.97,7858,13.03,1772,-4.88,1165,13.99,822,-9.97
"1986M04",127255,-0.82,96447,-3.38,...,...,...,...,50668,9.64,18383,7.35,7991,15.33,1900,-7.63,1601,20.65,933,-11.06
"1986M05",123066,7.04,92653,7.21,...,...,...,...,52058,7.53,18807,-1.33,7335,27.85,2009,7.20,1487,32.06,775,2.51
"1986M06",129129,10.66,99288,10.97,...,...,...,...,51526,13.42,19922,7.47,6162,16.99,1863,11.29,1187,23.90,707,-10.05
"1986M07",137393,23.00,94744,13.39,...,...,...,...,47923,19.25,20398,4.23,6756,34.66,1564,2.49,1351,28.06,12580,1183.67
"1986M08",139480,17.07,103402,8.05,...,...,...,...,55717,12.69,17263,14.01,6184,26.10,1552,13.62,1227,13.61,9852,935.96
"1986M09",123132,15.70,93480,12.71,...,...,...,...,52507,16.98,16843,15.44,6684,25.83,1757,7.20,1423,33.49,2945,236.57
"1986M10",156393,19.53,114319,24.51,...,...,...,...,56094,32.54,24853,-1.95,10669,14.18,1927,-4.84,1392,-5.37,3233,285.80
"1986M11",151696,21.38,115895,19.86,...,...,...,...,72816,21.56,19878,11.98,10154,35.24,1853,22.23,1156,40.80,2760,304.69
"1986M12",138425,17.53,107494,15.30,...,...,...,...,61234,19.73,19172,15.56,5250,19.02,1806,7.05,1152,9.30,3551,336.78
"1987M01",138751,16.41,106316,14.50,...,...,...,...,63140,0.78,18812,10.25,6305,12.85,1673,-9.17,891,-9.82,4754,457.33
"1987M02",136450,10.77,110165,7.19,...,...,...,...,74600,26.13,14716,18.01,7062,52.00,1585,27.82,892,2.88,2030,71.31
"1987M03",151086,6.37,117353,3.84,...,...,...,...,77470,8.01,18741,7.60,9104,15.86,2076,17.16,1503,29.01,2309,180.90
"1987M04",143011,12.38,107735,11.70,...,...,...,...,55446,9.43,20038,9.00,9171,14.77,1931,1.63,1467,-8.37,2669,186.07
"1987M05",141492,14.97,105511,13.88,...,...,...,...,59845,14.96,20566,9.35,8954,22.07,2271,13.04,1301,-12.51,2889,272.77
"1987M06",152738,18.28,108159,8.93,...,...,...,...,60775,17.95,28787,44.50,9005,46.14,2048,9.93,1414,19.12,3325,370.30
"1987M07",144939,5.49,107160,13.10,...,...,...,...,60895,27.07,23914,17.24,7339,8.63,1677,7.23,1359,0.59,3490,-72.26
"1987M08",143317,2.75,111599,7.93,...,...,...,...,66350,19.08,19067,10.45,6725,8.75,1626,4.77,1144,-6.76,3156,-67.97
"1987M09",133274,8.24,100858,7.89,...,...,...,...,60546,15.31,17811,5.75,8137,21.74,1811,3.07,1554,9.21,3103,5.37
"1987M10",168453,7.71,122324,7.00,...,...,...,...,67171,19.75,25635,3.15,12637,18.45,2202,14.27,1695,21.77,3960,22.49
"1987M11",164038,8.14,126155,8.85,...,...,...,...,83532,14.72,20617,3.72,11224,10.54,1871,0.97,1377,19.12,2794,1.23
"1987M12",143399,3.59,110669,2.95,...,...,...,...,66881,9.22,20293,5.85,6035,14.95,1576,-12.74,1366,18.58,3460,-2.56
"1988M01",151152,8.94,116875,9.93,...,...,...,...,79724,26.27,19976,6.19,8073,28.04,1804,7.83,1297,45.57,3127,-34.22
"1988M02",147496,8.10,120105,9.02,...,...,...,...,74227,-0.50,15852,7.72,6673,-5.51,1407,-11.23,912,2.24,2547,25.47
"1988M03",179367,18.72,142272,21.23,...,...,...,...,93914,21.23,19745,5.36,10217,12.23,2149,3.52,1776,18.16,3208,38.93
"1988M04",159787,11.73,123220,14.37,...,...,...,...,74374,34.14,19535,-2.51,10184,11.05,2134,10.51,1505,2.59,3209,20.23
"1988M05",158482,12.01,121442,15.10,...,...,...,...,72786,21.62,20309,-1.25,9735,8.72,1983,-12.68,1425,9.53,3588,24.20
"1988M06",163099,6.78,125113,15.68,...,...,...,...,75630,24.44,23026,-20.01,8550,-5.05,1813,-11.47,1381,-2.33,3216,-3.28
"1988M07",159230,9.86,120924,12.84,...,...,...,...,67217,10.38,23123,-3.31,8124,10.70,1660,-1.01,1270,-6.55,4129,18.31
"1988M08",154670,7.92,122915,10.14,...,...,...,...,69197,4.29,19167,0.52,7346,9.23,1736,6.77,1503,31.38,2003,-36.53
"1988M09",142444,6.88,112722,11.76,...,...,...,...,69214,14.32,16480,-7.47,7906,-2.84,1867,3.09,1337,-13.96,2132,-31.29
"1988M10",179267,6.42,132130,8.02,...,...,...,...,72780,8.35,26450,3.18,14010,10.86,2360,7.18,1788,5.49,2529,-36.14
"1988M11",182067,10.99,141186,11.91,...,...,...,...,88250,5.65,22753,10.36,12463,11.04,2089,11.65,1648,19.68,1928,-30.99
"1988M12",158073,10.23,125654,13.54,...,...,...,...,74286,11.07,21446,5.68,6047,0.20,1862,18.15,1382,1.17,1682,-51.39
"1989M01",174795,15.64,139252,19.15,...,...,...,...,91449,14.71,21545,7.85,8475,4.98,2133,18.24,1160,-10.56,2230,-28.69
"1989M02",151414,2.66,120805,0.58,...,...,...,...,72820,-1.90,15732,-0.76,7243,8.54,1575,11.94,1056,15.79,5003,96.43
"1989M03",189039,5.39,151528,6.51,...,...,...,...,99754,6.22,20510,3.87,9823,-3.86,2299,6.98,1473,-17.06,3406,6.17
"1989M04",164125,2.71,124656,1.17,...,...,...,...,75204,1.12,21393,9.51,12182,19.62,2333,9.33,1217,-19.14,2344,-26.96
"1989M05",161782,2.08,125587,3.41,...,...,...,...,78903,8.40,20994,3.37,9452,-2.91,2129,7.36,1152,-19.16,2468,-31.22
"1989M06",171655,5.25,131069,4.76,...,...,...,...,83662,10.62,25292,9.84,8713,1.91,2137,17.87,1213,-12.17,3231,0.47
"1989M07",153117,-3.84,115632,-4.38,...,...,...,...,66312,-1.35,22399,-3.13,7915,-2.57,1702,2.53,893,-29.69,4576,10.83
"1989M08",159067,2.84,126536,2.95,...,...,...,...,72535,4.82,18825,-1.78,7749,5.49,1617,-6.85,1011,-32.73,3329,66.20
"1989M09",155715,9.32,122261,8.46,...,...,...,...,74868,8.17,19038,15.52,8241,4.24,1991,6.64,1289,-3.59,2895,35.79
"1989M10",178058,-0.67,134353,1.68,...,...,...,...,76734,5.43,23806,-10.00,13736,-1.96,2173,-7.92,1498,-16.22,2492,-1.46
"1989M11",188755,3.67,150736,6.76,...,...,...,...,98385,11.48,21211,-6.78,11522,-7.55,2200,5.31,1188,-27.91,1898,-1.56
"1989M12",156604,-0.93,123438,-1.76,...,...,...,...,74005,-0.38,21159,-1.34,6222,2.89,1987,6.71,1237,-10.49,2561,52.26
"1990M01",168870,-3.39,135540,-2.67,...,...,...,...,79911,-12.62,20836,-3.29,7087,-16.38,1885,-11.63,842,-27.41,2680,20.18
"1990M02",171586,13.32,139005,15.07,...,...,...,...,90282,23.98,17981,14.30,8770,21.08,1763,11.94,854,-19.13,3213,-35.78
"1990M03",180514,-4.51,142312,-6.08,...,...,...,...,93299,-6.47,20782,1.33,11245,14.48,2395,4.18,1106,-24.92,2674,-21.49
"1990M04",165769,1.00,128509,3.09,...,...,...,...,78054,3.79,20704,-3.22,10768,-11.61,2091,-10.37,1051,-13.64,2646,12.88
"1990M05",162304,0.32,125004,-0.46,...,...,...,...,75430,-4.40,21646,3.11,9797,3.65,2095,-1.60,1121,-2.69,2641,7.01
"1990M06",163766,-4.60,125602,-4.17,...,...,...,...,79484,-4.99,24271,-4.04,8490,-2.56,1866,-12.68,983,-18.96,2554,-20.95
"1990M07",149175,-2.57,111529,-3.55,...,...,...,...,64632,-2.53,23399,4.46,8372,5.77,1593,-6.40,1033,15.68,3249,-29.00
"1990M08",147668,-7.17,113924,-9.97,...,...,...,...,65240,-10.06,20743,10.19,7655,-1.21,1592,-1.55,972,-3.86,2782,-16.43
"1990M09",143630,-7.76,111036,-9.18,...,...,...,...,67214,-10.22,18644,-2.07,8405,1.99,1750,-12.10,1170,-9.23,2625,-9.33
"1990M10",160483,-9.87,119260,-11.23,...,...,...,...,70445,-8.20,23223,-2.45,12589,-8.35,1836,-15.51,1372,-8.41,2203,-11.60
"1990M11",169117,-10.40,131193,-12.97,...,...,...,...,85027,-13.58,21239,0.13,11835,2.72,1673,-23.95,1351,13.72,1826,-3.79
"1990M12",151202,-3.45,117008,-5.21,...,...,...,...,68190,-7.86,22606,6.84,6459,3.81,2150,8.20,1058,-14.47,1921,-24.99
"1991M01",153350,-9.19,120698,-10.95,...,...,...,...,74786,-6.41,19756,-5.18,8717,23.00,1867,-0.95,907,7.72,1405,-47.57
"1991M02",129385,-24.59,104404,-24.89,...,...,...,...,60385,-33.12,15497,-13.81,5876,-33.00,1203,-31.76,584,-31.62,1821,-43.32
"1991M03",148433,-17.77,113621,-20.16,...,...,...,...,66010,-29.25,20239,-2.61,9953,-11.49,1968,-17.83,1099,-0.63,1553,-41.92
"1991M04",146256,-11.77,108989,-15.19,...,...,...,...,61563,-21.13,21324,2.99,11866,10.20,1823,-12.82,1160,10.37,1094,-58.65
"1991M05",151597,-6.60,115087,-7.93,...,...,...,...,67340,-10.73,22186,2.49,10006,2.13,1891,-9.74,1207,7.67,1220,-53.81
"1991M06",156614,-4.37,116707,-7.08,...,...,...,...,73976,-6.93,26657,9.83,9229,8.70,1904,2.04,913,-7.12,1204,-52.86
"1991M07",152130,1.98,112165,0.57,...,...,...,...,62280,-3.64,26667,13.97,8696,3.87,1710,7.34,1180,14.23,1712,-47.31
"1991M08",151245,2.42,117879,3.47,...,...,...,...,63524,-2.63,21716,4.69,7495,-2.09,1818,14.20,875,-9.98,1462,-47.45
"1991M09",151712,5.63,115281,3.82,...,...,...,...,69314,3.12,23214,24.51,8969,6.71,1840,5.14,1187,1.45,1221,-53.49
"1991M10",181983,13.40,134733,12.97,...,...,...,...,76996,9.30,27452,18.21,14866,18.09,2320,26.36,1481,7.94,1131,-48.66
"1991M11",171607,1.47,132766,1.20,...,...,...,...,83691,-1.57,22839,7.53,11784,-0.43,2113,26.30,1273,-5.77,832,-54.44
"1991M12",160194,5.95,122708,4.87,...,...,...,...,73759,8.17,25802,14.14,6942,7.48,2391,11.21,1154,9.07,1197,-37.69
"1992M01",161946,5.61,124318,3.00,...,...,...,...,75819,1.38,24952,26.30,8702,-0.17,2025,8.46,910,0.33,1039,-26.05
"1992M02",161692,24.97,130006,24.52,...,...,...,...,75425,24.91,20345,31.28,8082,37.54,1684,39.98,792,35.62,783,-57.00
"1992M03",174511,17.57,134263,18.17,...,...,...,...,83558,26.58,23577,16.49,12333,23.91,2346,19.21,1197,8.92,795,-48.81
"1992M04",169421,15.84,128013,17.45,...,...,...,...,67817,10.16,25152,17.95,12104,2.01,2236,22.65,1067,-8.02,849,-22.39
"1992M05",154837,2.14,114434,-0.57,...,...,...,...,63852,-5.18,25167,13.44,11271,12.64,2066,9.25,1038,-14.00,861,-29.43
"1992M06",168815,7.79,128886,10.44,...,...,...,...,71860,-2.86,26761,0.39,9422,2.09,2029,6.57,763,-16.43,954,-20.76
"1992M07",150458,-1.10,111848,-0.28,...,...,...,...,57073,-8.36,26127,-2.02,8671,-0.29,1879,9.88,775,-34.32,1158,-32.36
"1992M08",152095,0.56,117678,-0.17,...,...,...,...,57196,-9.96,22491,3.57,8073,7.71,1884,3.63,888,1.49,1081,-26.06
"1992M09",132453,-12.69,99098,-14.04,...,...,...,...,56354,-18.70,21027,-9.42,8469,-5.57,2074,12.72,863,-27.30,922,-24.49
"1992M10",152687,-16.10,106489,-20.96,...,...,...,...,60427,-21.52,27191,-0.95,14342,-3.52,2323,0.13,1341,-9.45,1001,-11.49
"1992M11",149481,-12.89,109130,-17.80,...,...,...,...,68585,-18.05,24434,6.98,11934,1.27,2088,-1.18,950,-25.37,945,13.58
"1992M12",144931,-9.53,105511,-14.01,...,...,...,...,61913,-16.06,27408,6.22,7206,3.80,2666,11.50,905,-21.58,1235,3.17
"1993M01",133146,-17.78,97737,-21.38,...,...,...,...,54854,-27.65,24639,-1.25,7159,-17.73,1814,-10.42,661,-27.36,1136,9.34
"1993M02",152624,-5.61,117787,-9.40,...,...,...,...,68010,-9.83,21315,4.77,9881,22.26,1979,17.52,829,4.67,833,6.39
"1993M03",155154,-11.09,114632,-14.62,...,...,...,...,65875,-21.16,23916,1.44,12058,-2.23,2463,4.99,978,-18.30,1107,39.25
"1993M04",151414,-10.63,111027,-13.27,...,...,...,...,56115,-17.26,24926,-0.90,11217,-7.33,2207,-1.30,1070,0.28,967,13.90
"1993M05",153186,-1.07,112379,-1.80,...,...,...,...,57318,-10.23,26333,4.63,10181,-9.67,2201,6.53,1047,0.87,1045,21.37
"1993M06",158589,-6.06,118307,-8.21,...,...,...,...,58431,-18.69,27034,1.02,9021,-4.26,2082,2.61,926,21.36,1219,27.78
"1993M07",153211,1.83,111061,-0.70,...,...,...,...,51288,-10.14,28374,8.60,9689,11.74,1995,6.17,997,28.65,1095,-5.44
"1993M08",157150,3.32,119927,1.91,...,...,...,...,55669,-2.67,24733,9.97,8603,6.57,1893,0.48,861,-3.04,1133,4.81
"1993M09",138000,4.19,103944,4.89,...,...,...,...,47383,-15.92,21418,1.86,8930,5.44,1906,-8.10,833,-3.48,969,5.10
"1993M10",171336,12.21,123561,16.03,...,...,...,...,57925,-4.14,28338,4.22,14395,0.37,2567,10.50,1307,-2.54,1168,16.68
"1993M11",161101,7.77,119264,9.29,...,...,...,...,64688,-5.68,24398,-0.15,13308,11.51,2400,14.94,876,-7.79,855,-9.52
"1993M12",165303,14.06,123396,16.95,...,...,...,...,66088,6.74,29167,6.42,7523,4.40,2798,4.95,1026,13.37,1393,12.79
"1994M01",155972,17.14,116194,18.88,...,...,...,...,64404,17.41,25908,5.15,9938,38.82,2191,20.78,770,16.49,971,-14.52
"1994M02",168686,10.52,134256,13.98,...,...,...,...,66802,-1.78,22697,6.48,8334,-15.66,1642,-17.03,556,-32.93,1201,44.18
"1994M03",199956,28.88,155039,35.25,...,...,...,...,87172,32.33,27025,13.00,13132,8.91,2442,-0.85,1278,30.67,1040,-6.05
"1994M04",180807,19.41,134243,20.91,...,...,...,...,66478,18.47,27689,11.08,14006,24.86,2569,16.40,1190,11.21,1110,14.79
"1994M05",170043,11.00,126410,12.49,...,...,...,...,67366,17.53,28203,7.10,11230,10.30,2340,6.32,706,-32.57,1154,10.43
"1994M06",200433,26.39,152079,28.55,...,...,...,...,77864,33.26,32435,19.98,11303,25.30,2459,18.11,1056,14.04,1101,-9.68
"1994M07",161344,5.31,118605,6.79,...,...,...,...,56208,9.59,28628,0.90,10053,3.76,1907,-4.41,877,-12.04,1274,16.35
"1994M08",172735,9.92,135386,12.89,...,...,...,...,62801,12.81,24126,-2.45,9124,6.06,2023,6.87,800,-7.08,1276,12.62
"1994M09",159163,15.34,122573,17.92,...,...,...,...,59687,25.97,22635,5.68,9588,7.37,2489,30.59,774,-7.08,1104,13.93
"1994M10",182459,6.49,132329,7.10,...,...,...,...,63526,9.67,29123,2.77,15606,8.41,2452,-4.48,1165,-10.86,1784,52.74
"1994M11",190838,18.46,145113,21.67,...,...,...,...,78893,21.96,26181,7.31,14365,7.94,2737,14.04,998,13.93,1444,68.89
"1994M12",184813,11.80,139878,13.36,...,...,...,...,72681,9.98,30713,5.30,8387,11.48,3268,16.80,897,-12.57,1670,19.89
"1995M01",168140,7.80,125725,8.20,...,...,...,...,64239,-0.26,27543,6.31,10287,3.51,2267,3.47,758,-1.56,1560,60.66
"1995M02",189631,12.42,152241,13.40,...,...,...,...,67953,1.72,22669,-0.12,10711,28.52,1955,19.06,608,9.35,1447,20.48
"1995M03",196661,-1.65,151672,-2.17,...,...,...,...,79606,-8.68,26810,-0.80,13390,1.96,2681,9.79,903,-29.34,1205,15.87
"1995M04",187982,3.97,137953,2.76,...,...,...,...,63424,-4.59,30443,9.95,13909,-0.69,2771,7.86,1290,8.40,1616,45.59
"1995M05",185149,8.88,140653,11.27,...,...,...,...,70831,5.14,28336,0.47,11628,3.54,2469,5.51,838,18.70,1225,6.15
"1995M06",202946,1.25,155949,2.54,...,...,...,...,82846,6.40,30483,-6.02,11282,-0.19,3030,23.22,845,-19.98,1357,23.25
"1995M07",186855,15.81,142345,20.02,...,...,...,...,72203,28.46,29250,2.17,10763,7.06,2247,17.83,716,-18.36,1534,20.41
"1995M08",200677,16.18,159457,17.78,...,...,...,...,79075,25.91,25918,7.43,10685,17.11,2257,11.57,770,-3.75,1590,24.61
"1995M09",174890,9.88,138252,12.79,...,...,...,...,70394,17.94,22590,-0.20,10080,5.13,2208,-11.29,645,-16.67,1115,1.00
"1995M10",207850,13.92,156904,18.57,...,...,...,...,79029,24.40,28689,-1.49,16752,7.34,2899,18.23,1189,2.06,1417,-20.57
"1995M11",228808,19.90,179596,23.76,...,...,...,...,104159,32.03,28066,7.20,15708,9.35,3206,17.14,938,-6.01,1294,-10.39
"1995M12",202345,9.49,156205,11.67,...,...,...,...,80566,10.85,30374,-1.10,9522,13.53,3885,18.88,884,-1.45,1475,-11.68
"1996M01",187685,11.62,145500,15.73,...,...,...,...,78837,22.72,25768,-6.44,11650,13.25,2843,25.41,698,-7.92,1226,-21.41
"1996M02",189281,-0.18,151124,-0.73,...,...,...,...,78590,15.65,24402,7.64,9996,-6.68,1810,-7.42,421,-30.76,1528,5.60
"1996M03",200471,1.94,154554,1.90,...,...,...,...,87501,9.92,26487,-1.20,14319,6.94,2758,2.87,772,-14.51,1581,31.20
"1996M04",186943,-0.55,139346,1.01,...,...,...,...,68818,8.50,27719,-8.95,14890,7.05,2715,-2.02,934,-27.60,1339,-17.14
"1996M05",186763,0.87,141377,0.51,...,...,...,...,68449,-3.36,28641,1.08,12004,3.23,2362,-4.33,879,4.89,1500,22.45
"1996M06",205268,1.14,155887,-0.04,...,...,...,...,74030,-10.64,30354,-0.42,13697,21.41,2941,-2.94,946,11.95,1443,6.34
"1996M07",186054,-0.43,140944,-0.98,...,...,...,...,68221,-5.52,29011,-0.82,11432,6.22,2397,6.68,722,0.84,1548,0.91
"1996M08",197739,-1.46,156924,-1.59,...,...,...,...,73298,-7.31,25802,-0.45,10697,0.11,2051,-9.13,694,-9.87,1571,-1.19
"1996M09",184081,5.26,143139,3.53,...,...,...,...,74812,6.28,25286,11.93,10980,8.93,2597,17.62,712,10.39,1367,22.60
"1996M10",213496,2.72,158699,1.14,...,...,...,...,73585,-6.89,31570,10.04,17184,2.58,3248,12.04,1167,-1.85,1628,14.89
"1996M11",209681,-8.36,161036,-10.33,...,...,...,...,87409,-16.08,27935,-0.47,15132,-3.67,3276,2.18,1035,10.34,1267,-2.09
"1996M12",210759,4.16,163302,4.54,...,...,...,...,84340,4.68,30883,1.68,10513,10.41,3633,-6.49,849,-3.96,1579,7.05
"1997M01",194308,3.53,147250,1.20,...,...,...,...,78667,-0.22,30042,16.59,12064,3.55,3024,6.37,574,-17.77,1354,10.44
"1997M02",192192,1.54,154931,2.52,...,...,...,...,72237,-8.08,22980,-5.83,10080,0.84,2076,14.70,480,14.01,1645,7.66
"1997M03",227591,13.53,174469,12.89,...,...,...,...,90505,3.43,31453,18.75,16010,11.81,3084,11.82,902,16.84,1673,5.82
"1997M04",204237,9.25,151474,8.70,...,...,...,...,75998,10.43,30495,10.01,16699,12.15,3205,18.05,1010,8.14,1354,1.12
"1997M05",201588,7.94,153997,8.93,...,...,...,...,75295,10.00,30435,6.26,12389,3.21,2753,16.55,783,-10.92,1231,-17.93
"1997M06",206660,0.68,157313,0.91,...,...,...,...,76924,3.91,30567,0.70,13472,-1.64,2901,-1.36,846,-10.57,1561,8.18
